C,SETP.WORLD,CO2EII_RESULTS_SUMMARY,AEMO,PUBLIC,26/08/2022,12:55:25,369522107,,369522091,
D,CO2EII,PUBLISHING,1,2020,25,14/06/2020 0:00,NSW1,144154.9012,105915.6018,0.7347
D,CO2EII,PUBLISHING,1,2020,25,14/06/2020 0:00,QLD1,152783.1155,113751.0411,0.7445
D,CO2EII,PUBLISHING,1,2020,25,14/06/2020 0:00,SA1,37348.71949,4034.528667,0.108
D,CO2EII,PUBLISHING,1,2020,25,14/06/2020 0:00,TAS1,27923.93169,1.64043115,0.0001
D,CO2EII,PUBLISHING,1,2020,25,14/06/2020 0:00,VIC1,131801.495,108803.4887,0.8255
D,CO2EII,PUBLISHING,1,2020,25,15/06/2020 0:00,NEM,530239.8676,360856.6278,0.6806
D,CO2EII,PUBLISHING,1,2020,25,15/06/2020 0:00,NSW1,159020.5756,124888.0923,0.7854
D,CO2EII,PUBLISHING,1,2020,25,15/06/2020 0:00,QLD1,160209.4145,118958.3303,0.7425
D,CO2EII,PUBLISHING,1,2020,25,15/06/2020 0:00,SA1,39132.50446,5066.900996,0.1295
D,CO2EII,PUBLISHING,1,2020,25,15/06/2020 0:00,TAS1,35676.16853,1.63830672,0
D,CO2EII,PUBLISHING,1,2020,25,15/06/2020 0:00,VIC1,136201.2045,111941.6658,0.8219
D,CO2EII,PUBLISHING,1,2020,25,16/06/2020 0:00,NEM,538799.3559,368841.3928,0.6846
D,CO2EII,PUBLISHING,1,2020,25,16/06/2020 0:00,NSW1,161717.8182,126430.4448,0.7818
D,CO2EII,PUBLISHING,1,2020,25,16/06/2020 0:00,QLD1,165773.019,121750.9668,0.7344
D,CO2EII,PUBLISHING,1,2020,25,16/06/2020 0:00,SA1,35513.13767,8751.201043,0.2464
D,CO2EII,PUBLISHING,1,2020,25,16/06/2020 0:00,TAS1,40883.98885,1.6394066,0
D,CO2EII,PUBLISHING,1,2020,25,16/06/2020 0:00,VIC1,134911.3921,111907.1407,0.8295
D,CO2EII,PUBLISHING,1,2020,25,17/06/2020 0:00,NEM,550341.1605,399043.0778,0.7251
D,CO2EII,PUBLISHING,1,2020,25,17/06/2020 0:00,NSW1,187762.2031,152045.3573,0.8098
D,CO2EII,PUBLISHING,1,2020,25,17/06/2020 0:00,QLD1,162796.697,118226.8726,0.7262
D,CO2EII,PUBLISHING,1,2020,25,17/06/2020 0:00,SA1,30580.98671,15205.55804,0.4972
D,CO2EII,PUBLISHING,1,2020,25,17/06/2020 0:00,TAS1,43496.10247,466.821973,0.0107
D,CO2EII,PUBLISHING,1,2020,25,17/06/2020 0:00,VIC1,125705.1712,113098.4679,0.8997
D,CO2EII,PUBLISHING,1,2020,25,18/06/2020 0:00,NEM,541703.4582,358405.2823,0.6616
D,CO2EII,PUBLISHING,1,2020,25,18/06/2020 0:00,NSW1,176400.5714,134494.8115,0.7624
D,CO2EII,PUBLISHING,1,2020,25,18/06/2020 0:00,QLD1,154552.3762,112350.8001,0.7269
D,CO2EII,PUBLISHING,1,2020,25,18/06/2020 0:00,SA1,47168.1029,7977.278293,0.1691
D,CO2EII,PUBLISHING,1,2020,25,18/06/2020 0:00,TAS1,40276.73304,151.6329908,0.0038
D,CO2EII,PUBLISHING,1,2020,25,18/06/2020 0:00,VIC1,123305.6747,103430.7594,0.8388
D,CO2EII,PUBLISHING,1,2020,25,19/06/2020 0:00,NEM,534447.4716,352185.3456,0.659
D,CO2EII,PUBLISHING,1,2020,25,19/06/2020 0:00,NSW1,175163.7528,132735.6388,0.7578
D,CO2EII,PUBLISHING,1,2020,25,19/06/2020 0:00,QLD1,153639.605,109916.6844,0.7154
