C,SETP.WORLD,CO2EII_RESULTS_SUMMARY,AEMO,PUBLIC,26/08/2022,12:55:25,369522107,,369522091,
D,CO2EII,PUBLISHING,1,2022,32,1/08/2022 0:00,TAS1,33273.49363,0,0
D,CO2EII,PUBLISHING,1,2022,32,1/08/2022 0:00,VIC1,157780.7171,94187.67122,0.597
D,CO2EII,PUBLISHING,1,2022,32,2/08/2022 0:00,NEM,558373.352,323723.6345,0.5798
D,CO2EII,PUBLISHING,1,2022,32,2/08/2022 0:00,NSW1,178565.687,125406.1185,0.7023
D,CO2EII,PUBLISHING,1,2022,32,2/08/2022 0:00,QLD1,151119.2085,106791.4522,0.7067
D,CO2EII,PUBLISHING,1,2022,32,2/08/2022 0:00,SA1,48450.07315,1978.993442,0.0408
D,CO2EII,PUBLISHING,1,2022,32,2/08/2022 0:00,TAS1,30154.16586,0,0
D,CO2EII,PUBLISHING,1,2022,32,2/08/2022 0:00,VIC1,150084.2174,89547.07036,0.5966
D,CO2EII,PUBLISHING,1,2022,32,3/08/2022 0:00,NEM,532558.1298,297488.0246,0.5586
D,CO2EII,PUBLISHING,1,2022,32,3/08/2022 0:00,NSW1,178546.7209,108844.7569,0.6096
D,CO2EII,PUBLISHING,1,2022,32,3/08/2022 0:00,QLD1,149214.3321,103346.0263,0.6926
D,CO2EII,PUBLISHING,1,2022,32,3/08/2022 0:00,SA1,39059.3052,1276.122168,0.0327
D,CO2EII,PUBLISHING,1,2022,32,3/08/2022 0:00,TAS1,28288.16834,0,0
D,CO2EII,PUBLISHING,1,2022,32,3/08/2022 0:00,VIC1,137449.6032,84021.11924,0.6113
D,CO2EII,PUBLISHING,1,2022,32,4/08/2022 0:00,NEM,535032.5847,297617.9837,0.5563
D,CO2EII,PUBLISHING,1,2022,32,4/08/2022 0:00,NSW1,174493.7338,106257.2579,0.6089
D,CO2EII,PUBLISHING,1,2022,32,4/08/2022 0:00,QLD1,149207.4906,101188.2901,0.6782
D,CO2EII,PUBLISHING,1,2022,32,4/08/2022 0:00,SA1,37290.65902,1465.490809,0.0393
D,CO2EII,PUBLISHING,1,2022,32,4/08/2022 0:00,TAS1,26292.26516,0,0
D,CO2EII,PUBLISHING,1,2022,32,4/08/2022 0:00,VIC1,147748.4361,88706.94485,0.6004
D,CO2EII,PUBLISHING,1,2022,32,5/08/2022 0:00,NEM,537933.9665,310750.6203,0.5777
D,CO2EII,PUBLISHING,1,2022,32,5/08/2022 0:00,NSW1,176060.328,109351.2452,0.6211
D,CO2EII,PUBLISHING,1,2022,32,5/08/2022 0:00,QLD1,144476.2126,103300.4768,0.715
D,CO2EII,PUBLISHING,1,2022,32,5/08/2022 0:00,SA1,40941.41081,3027.062395,0.0739
D,CO2EII,PUBLISHING,1,2022,32,5/08/2022 0:00,TAS1,32428.33902,0,0
D,CO2EII,PUBLISHING,1,2022,32,5/08/2022 0:00,VIC1,144027.676,95071.83591,0.6601
D,CO2EII,PUBLISHING,1,2022,32,6/08/2022 0:00,NEM,504744.3956,323034.5831,0.64
D,CO2EII,PUBLISHING,1,2022,32,6/08/2022 0:00,NSW1,178380.8497,110742.4714,0.6208
D,CO2EII,PUBLISHING,1,2022,32,6/08/2022 0:00,QLD1,137090.3323,99334.8837,0.7246
D,CO2EII,PUBLISHING,1,2022,32,6/08/2022 0:00,SA1,39808.70983,6534.238087,0.1641
D,CO2EII,PUBLISHING,1,2022,32,6/08/2022 0:00,TAS1,32273.50313,0,0
D,CO2EII,PUBLISHING,1,2022,32,6/08/2022 0:00,VIC1,117191.0006,106422.9899,0.9081
D,CO2EII,PUBLISHING,1,2022,33,7/08/2022 0:00,NEM,491746.7827,341227.9777,0.6939
D,CO2EII,PUBLISHING,1,2022,33,7/08/2022 0:00,NSW1,169000.0986,123319.722,0.7297
D,CO2EII,PUBLISHING,1,2022,33,7/08/2022 0:00,QLD1,145231.079,99900.23448,0.6879
D,CO2EII,PUBLISHING,1,2022,33,7/08/2022 0:00,SA1,28621.65162,10226.34763,0.3573
D,CO2EII,PUBLISHING,1,2022,33,7/08/2022 0:00,TAS1,32716.99732,0,0
D,CO2EII,PUBLISHING,1,2022,33,7/08/2022 0:00,VIC1,116176.9562,107781.6736,0.9277
D,CO2EII,PUBLISHING,1,2022,33,8/08/2022 0:00,NEM,545000.7896,379434.3443,0.6962
D,CO2EII,PUBLISHING,1,2022,33,8/08/2022 0:00,NSW1,193098.4383,141347.0741,0.732
D,CO2EII,PUBLISHING,1,2022,33,8/08/2022 0:00,QLD1,160195.4752,109264.2195,0.6821
D,CO2EII,PUBLISHING,1,2022,33,8/08/2022 0:00,SA1,28265.62057,15006.93069,0.5309
D,CO2EII,PUBLISHING,1,2022,33,8/08/2022 0:00,TAS1,33397.57484,156.831905,0.0047
D,CO2EII,PUBLISHING,1,2022,33,8/08/2022 0:00,VIC1,130043.6807,113659.2881,0.874
D,CO2EII,PUBLISHING,1,2022,33,9/08/2022 0:00,NEM,559474.1688,378634.3495,0.6768
D,CO2EII,PUBLISHING,1,2022,33,9/08/2022 0:00,NSW1,197292.2283,143480.0476,0.7272
D,CO2EII,PUBLISHING,1,2022,33,9/08/2022 0:00,QLD1,158903.9282,110854.111,0.6976
D,CO2EII,PUBLISHING,1,2022,33,9/08/2022 0:00,SA1,40437.0789,11242.36117,0.278
D,CO2EII,PUBLISHING,1,2022,33,9/08/2022 0:00,TAS1,30060.00422,322.9490021,0.0107
D,CO2EII,PUBLISHING,1,2022,33,9/08/2022 0:00,VIC1,132780.9291,112734.8808,0.849
D,CO2EII,PUBLISHING,1,2022,33,10/08/2022 0:00,NEM,569723.9957,351003.2902,0.6161
D,CO2EII,PUBLISHING,1,2022,33,10/08/2022 0:00,NSW1,183162.1737,132256.8462,0.7221
D,CO2EII,PUBLISHING,1,2022,33,10/08/2022 0:00,QLD1,156957.8803,110337.5343,0.703
D,CO2EII,PUBLISHING,1,2022,33,10/08/2022 0:00,SA1,48662.95036,4138.549931,0.085
D,CO2EII,PUBLISHING,1,2022,33,10/08/2022 0:00,TAS1,31392.00163,287.5247268,0.0092
D,CO2EII,PUBLISHING,1,2022,33,10/08/2022 0:00,VIC1,149548.9898,103982.835,0.6953
D,CO2EII,PUBLISHING,1,2022,33,11/08/2022 0:00,NEM,576925.1635,357495.4164,0.6197
D,CO2EII,PUBLISHING,1,2022,33,11/08/2022 0:00,NSW1,186270.7263,136450.1871,0.7325
D,CO2EII,PUBLISHING,1,2022,33,11/08/2022 0:00,QLD1,159243.554,113647.0774,0.7137
D,CO2EII,PUBLISHING,1,2022,33,11/08/2022 0:00,SA1,44576.31447,4044.732889,0.0907
D,CO2EII,PUBLISHING,1,2022,33,11/08/2022 0:00,TAS1,31041.89377,233.0470207,0.0075
D,CO2EII,PUBLISHING,1,2022,33,11/08/2022 0:00,VIC1,155792.6749,103120.372,0.6619
D,CO2EII,PUBLISHING,1,2022,33,12/08/2022 0:00,NEM,571374.9994,368896.9967,0.6456
D,CO2EII,PUBLISHING,1,2022,33,12/08/2022 0:00,NSW1,193213.8398,141930.9711,0.7346
D,CO2EII,PUBLISHING,1,2022,33,12/08/2022 0:00,QLD1,156872.7888,112874.8638,0.7195
D,CO2EII,PUBLISHING,1,2022,33,12/08/2022 0:00,SA1,44142.11948,6407.559051,0.1452
D,CO2EII,PUBLISHING,1,2022,33,12/08/2022 0:00,TAS1,29929.4485,367.8356913,0.0123
D,CO2EII,PUBLISHING,1,2022,33,12/08/2022 0:00,VIC1,147216.8028,107315.7671,0.729
D,CO2EII,PUBLISHING,1,2022,33,13/08/2022 0:00,NEM,518360.4775,350425.3872,0.676
D,CO2EII,PUBLISHING,1,2022,33,13/08/2022 0:00,NSW1,177667.2807,132273.068,0.7445
D,CO2EII,PUBLISHING,1,2022,33,13/08/2022 0:00,QLD1,148167.4302,108597.3166,0.7329
D,CO2EII,PUBLISHING,1,2022,33,13/08/2022 0:00,SA1,38887.60991,3618.057881,0.093
D,CO2EII,PUBLISHING,1,2022,33,13/08/2022 0:00,TAS1,29568.66046,169.9027261,0.0057
D,CO2EII,PUBLISHING,1,2022,33,13/08/2022 0:00,VIC1,124069.4963,105767.042,0.8525
D,CO2EII,PUBLISHING,1,2022,34,14/08/2022 0:00,NEM,514654.3835,316847.198,0.6157
D,CO2EII,PUBLISHING,1,2022,34,14/08/2022 0:00,NSW1,182451.8375,118272.5011,0.6482
D,CO2EII,PUBLISHING,1,2022,34,14/08/2022 0:00,QLD1,140967.7056,98364.56475,0.6978
D,CO2EII,PUBLISHING,1,2022,34,14/08/2022 0:00,SA1,24531.77701,4971.182747,0.2026
D,CO2EII,PUBLISHING,1,2022,34,14/08/2022 0:00,TAS1,29418.43777,0,0
D,CO2EII,PUBLISHING,1,2022,34,14/08/2022 0:00,VIC1,137284.6255,95238.94938,0.6937
D,CO2EII,PUBLISHING,1,2022,34,15/08/2022 0:00,NEM,552965.1283,332450.6312,0.6012
D,CO2EII,PUBLISHING,1,2022,34,15/08/2022 0:00,NSW1,193340.8026,133175.7389,0.6888
D,CO2EII,PUBLISHING,1,2022,34,15/08/2022 0:00,QLD1,145662.8914,103154.068,0.7082
D,CO2EII,PUBLISHING,1,2022,34,15/08/2022 0:00,SA1,34964.94513,6871.938997,0.1965
D,CO2EII,PUBLISHING,1,2022,34,15/08/2022 0:00,TAS1,28260.10076,294.4464098,0.0104
D,CO2EII,PUBLISHING,1,2022,34,15/08/2022 0:00,VIC1,150736.3885,88954.43885,0.5901
D,CO2EII,PUBLISHING,1,2022,34,16/08/2022 0:00,NEM,547598.4267,351463.6221,0.6418
D,CO2EII,PUBLISHING,1,2022,34,16/08/2022 0:00,NSW1,191950.0917,140504.9573,0.732
D,CO2EII,PUBLISHING,1,2022,34,16/08/2022 0:00,QLD1,151486.716,107879.1946,0.7121
D,CO2EII,PUBLISHING,1,2022,34,16/08/2022 0:00,SA1,28708.37399,10629.36963,0.3703
D,CO2EII,PUBLISHING,1,2022,34,16/08/2022 0:00,TAS1,31481.34986,669.2434707,0.0213
D,CO2EII,PUBLISHING,1,2022,34,16/08/2022 0:00,VIC1,143971.8951,91780.85716,0.6375
D,CO2EII,PUBLISHING,1,2022,34,17/08/2022 0:00,NEM,549358.0208,340249.5862,0.6194
D,CO2EII,PUBLISHING,1,2022,34,17/08/2022 0:00,NSW1,179978.7667,138512.3893,0.7696
D,CO2EII,PUBLISHING,1,2022,34,17/08/2022 0:00,QLD1,149756.048,106938.0467,0.7141
D,CO2EII,PUBLISHING,1,2022,34,17/08/2022 0:00,SA1,47556.7649,4770.857861,0.1003
D,CO2EII,PUBLISHING,1,2022,34,17/08/2022 0:00,TAS1,32139.04868,1022.289925,0.0318
D,CO2EII,PUBLISHING,1,2022,34,17/08/2022 0:00,VIC1,139927.3925,89006.00251,0.6361
D,CO2EII,PUBLISHING,1,2022,34,18/08/2022 0:00,NEM,551494.4977,328854.1288,0.5963
D,CO2EII,PUBLISHING,1,2022,34,18/08/2022 0:00,NSW1,186093.0976,133610.5291,0.718
D,CO2EII,PUBLISHING,1,2022,34,18/08/2022 0:00,QLD1,146727.3596,105411.9149,0.7184
D,CO2EII,PUBLISHING,1,2022,34,18/08/2022 0:00,SA1,41684.29449,6199.49083,0.1487
D,CO2EII,PUBLISHING,1,2022,34,18/08/2022 0:00,TAS1,34890.99075,421.9581225,0.0121
D,CO2EII,PUBLISHING,1,2022,34,18/08/2022 0:00,VIC1,142098.7553,83210.23587,0.5856
D,CO2EII,PUBLISHING,1,2022,34,19/08/2022 0:00,NEM,535643.4565,307148.7735,0.5734
D,CO2EII,PUBLISHING,1,2022,34,19/08/2022 0:00,NSW1,183496.1424,122862.8365,0.6696
D,CO2EII,PUBLISHING,1,2022,34,19/08/2022 0:00,QLD1,145640.3052,101385.3782,0.6961
D,CO2EII,PUBLISHING,1,2022,34,19/08/2022 0:00,SA1,38383.88433,3553.562447,0.0926
D,CO2EII,PUBLISHING,1,2022,34,19/08/2022 0:00,TAS1,31673.26614,265.0139574,0.0084
D,CO2EII,PUBLISHING,1,2022,34,19/08/2022 0:00,VIC1,136449.8584,79081.98234,0.5796
D,CO2EII,PUBLISHING,1,2022,34,20/08/2022 0:00,NEM,499314.0014,316396.384,0.6337
D,CO2EII,PUBLISHING,1,2022,34,20/08/2022 0:00,NSW1,172060.303,122684.6099,0.713
D,CO2EII,PUBLISHING,1,2022,34,20/08/2022 0:00,QLD1,145083.5895,101098.3563,0.6968
D,CO2EII,PUBLISHING,1,2022,34,20/08/2022 0:00,SA1,27416.39475,7502.975958,0.2737
D,CO2EII,PUBLISHING,1,2022,34,20/08/2022 0:00,TAS1,30286.40691,616.5568761,0.0204
D,CO2EII,PUBLISHING,1,2022,34,20/08/2022 0:00,VIC1,124467.3072,84493.8849,0.6788
C,END OF REPORT,1431,,,,,,,,
