C,SETP.WORLD,CO2EII_RESULTS_SUMMARY,AEMO,PUBLIC,26/08/2022,12:55:25,369522107,,369522091,
I,CO2EII,PUBLISHING,1,CONTRACTYEAR,WEEKNO,SETTLEMENTDATE,REGIONID,TOTAL_SENT_OUT_ENERGY,TOTAL_EMISSIONS,CO2E_INTENSITY_INDEX
D,CO2EII,PUBLISHING,1,2021,27,1/07/2021 0:00,NEM,556638.6331,396835.416,0.7129
D,CO2EII,PUBLISHING,1,2021,27,1/07/2021 0:00,NSW1,186362.3248,147943.037,0.7938
D,CO2EII,PUBLISHING,1,2021,27,1/07/2021 0:00,QLD1,164005.5488,120066.6312,0.7321
D,CO2EII,PUBLISHING,1,2021,27,1/07/2021 0:00,SA1,32554.46288,13284.66008,0.4081
D,CO2EII,PUBLISHING,1,2021,27,1/07/2021 0:00,TAS1,36305.14318,171.7348314,0.0047
D,CO2EII,PUBLISHING,1,2021,27,1/07/2021 0:00,VIC1,137411.1536,115369.3528,0.8396
D,CO2EII,PUBLISHING,1,2021,27,2/07/2021 0:00,NEM,556696.9822,384298.7688,0.6903
D,CO2EII,PUBLISHING,1,2021,27,2/07/2021 0:00,NSW1,180564.8782,145026.2911,0.8032
D,CO2EII,PUBLISHING,1,2021,27,2/07/2021 0:00,QLD1,157787.0371,117624.488,0.7455
D,CO2EII,PUBLISHING,1,2021,27,2/07/2021 0:00,SA1,43607.90675,7795.783251,0.1788
D,CO2EII,PUBLISHING,1,2021,27,2/07/2021 0:00,TAS1,28755.8542,0,0
D,CO2EII,PUBLISHING,1,2021,27,2/07/2021 0:00,VIC1,145981.3059,113852.2063,0.7799
D,CO2EII,PUBLISHING,1,2021,27,3/07/2021 0:00,NEM,538083.0611,386110.7757,0.7176
D,CO2EII,PUBLISHING,1,2021,27,3/07/2021 0:00,NSW1,171674.2742,135374.8756,0.7886
D,CO2EII,PUBLISHING,1,2021,27,3/07/2021 0:00,QLD1,154747.6638,117980.039,0.7624
D,CO2EII,PUBLISHING,1,2021,27,3/07/2021 0:00,SA1,34023.96291,7316.338965,0.215
D,CO2EII,PUBLISHING,1,2021,27,3/07/2021 0:00,TAS1,27455.14227,0,0
D,CO2EII,PUBLISHING,1,2021,27,3/07/2021 0:00,VIC1,150182.018,125439.5221,0.8352
D,CO2EII,PUBLISHING,1,2021,28,4/07/2021 0:00,NEM,545461.2754,385357.4712,0.7065
D,CO2EII,PUBLISHING,1,2021,28,4/07/2021 0:00,NSW1,173030.3223,133314.5107,0.7705
D,CO2EII,PUBLISHING,1,2021,28,4/07/2021 0:00,QLD1,150183.7918,106180.793,0.707
D,CO2EII,PUBLISHING,1,2021,28,4/07/2021 0:00,SA1,27750.1741,7572.469834,0.2729
D,CO2EII,PUBLISHING,1,2021,28,4/07/2021 0:00,TAS1,28524.67661,0,0
D,CO2EII,PUBLISHING,1,2021,28,4/07/2021 0:00,VIC1,165972.3106,138289.6976,0.8332
D,CO2EII,PUBLISHING,1,2021,28,5/07/2021 0:00,NEM,599299.2488,435295.1254,0.7263
D,CO2EII,PUBLISHING,1,2021,28,5/07/2021 0:00,NSW1,191284.1585,148571.2263,0.7767
D,CO2EII,PUBLISHING,1,2021,28,5/07/2021 0:00,QLD1,167080.9019,117356.6068,0.7024
D,CO2EII,PUBLISHING,1,2021,28,5/07/2021 0:00,SA1,31963.47795,17528.77885,0.5484
D,CO2EII,PUBLISHING,1,2021,28,5/07/2021 0:00,TAS1,41965.70192,0,0
D,CO2EII,PUBLISHING,1,2021,28,5/07/2021 0:00,VIC1,167005.0086,151838.5134,0.9092
D,CO2EII,PUBLISHING,1,2021,28,6/07/2021 0:00,NEM,603499.2753,438201.9848,0.7261
D,CO2EII,PUBLISHING,1,2021,28,6/07/2021 0:00,NSW1,201624.9489,162666.9025,0.8068
D,CO2EII,PUBLISHING,1,2021,28,6/07/2021 0:00,QLD1,167660.7303,122635.6469,0.7315
D,CO2EII,PUBLISHING,1,2021,28,6/07/2021 0:00,SA1,42510.91557,18695.41715,0.4398
D,CO2EII,PUBLISHING,1,2021,28,6/07/2021 0:00,TAS1,45135.46735,249.7547549,0.0055
D,CO2EII,PUBLISHING,1,2021,28,6/07/2021 0:00,VIC1,146567.2132,133954.2635,0.9139
D,CO2EII,PUBLISHING,1,2021,28,7/07/2021 0:00,NEM,596494.8315,424393.6701,0.7115
